City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2022-11-13 09:54:29,-34.4187,19.2345,70.81,63,0,11.27
1,Ahipara,NZ,2022-11-13 09:54:29,-35.1667,173.1667,57.43,89,9,7.78
2,Hasaki,JP,2022-11-13 09:54:29,35.7333,140.8333,67.21,86,100,22.7
3,Tuktoyaktuk,CA,2022-11-13 09:54:30,69.4541,-133.0374,8.51,94,41,3.44
4,Cape Town,ZA,2022-11-13 09:54:30,-33.9258,18.4232,76.12,55,40,8.01
5,Rio Grande,BR,2022-11-13 09:51:47,-32.035,-52.0986,68.49,87,100,16.55
6,Balkanabat,TM,2022-11-13 09:54:31,39.5108,54.3671,60.46,49,2,13.67
7,Yar-Sale,RU,2022-11-13 09:54:31,66.8333,70.8333,-1.34,91,97,10.47
8,Marathon,US,2022-11-13 09:54:32,44.9,-89.7668,22.71,84,100,9.22
9,Atuona,PF,2022-11-13 09:54:32,-9.8,-139.0333,77.81,81,23,20.47
10,Codrington,AU,2022-11-13 09:54:32,-38.2667,141.9667,56.82,88,74,10.51
11,Rikitea,PF,2022-11-13 09:54:33,-23.1203,-134.9692,73.9,89,99,18.25
12,Lorengau,PG,2022-11-13 09:54:33,-2.0226,147.2712,81.54,79,100,4.41
13,Saint-Philippe,RE,2022-11-13 09:54:34,-21.3585,55.7679,81.99,71,22,5.82
14,Souillac,MU,2022-11-13 09:54:34,-20.5167,57.5167,80.98,57,20,6.91
15,Nuuk,GL,2022-11-13 09:54:34,64.1835,-51.7216,25.88,79,100,10.0
16,Pisco,PE,2022-11-13 09:54:35,-13.7,-76.2167,62.65,88,100,5.75
17,Paka,MY,2022-11-13 09:54:35,4.6374,103.4368,82.33,89,20,0.0
18,Atherton,GB,2022-11-13 09:54:36,53.5237,-2.4935,54.95,92,2,1.01
19,Shar,KZ,2022-11-13 09:54:36,49.5886,81.0453,36.07,69,100,16.06
20,Hobart,AU,2022-11-13 09:54:36,-42.8794,147.3294,55.26,96,75,4.61
21,Ribeira Grande,PT,2022-11-13 09:54:37,38.5167,-28.7,60.78,77,20,8.05
22,Ushuaia,AR,2022-11-13 09:51:32,-54.8,-68.3,49.66,46,0,4.61
23,Thompson,CA,2022-11-13 09:54:37,55.7435,-97.8558,-3.84,84,75,0.0
24,Bengkulu,ID,2022-11-13 09:54:38,-3.8004,102.2655,75.49,93,100,3.06
25,Lompoc,US,2022-11-13 09:54:38,34.6391,-120.4579,48.0,89,0,6.91
26,Puerto Ayora,EC,2022-11-13 09:54:39,-0.7393,-90.3518,69.55,85,57,1.99
27,Castro,BR,2022-11-13 09:54:39,-24.7911,-50.0119,61.18,92,100,7.02
28,Vaini,TO,2022-11-13 09:54:40,-21.2,-175.2,76.86,84,100,22.79
29,Joacaba,BR,2022-11-13 09:54:40,-27.1781,-51.5047,67.32,85,100,8.12
30,Barrow,US,2022-11-13 09:54:41,71.2906,-156.7887,21.34,84,100,14.92
31,Hami,CN,2022-11-13 09:54:41,42.8,93.45,42.19,33,0,5.91
32,Avarua,CK,2022-11-13 09:54:41,-21.2078,-159.775,71.65,78,98,4.61
33,Khatanga,RU,2022-11-13 09:54:42,71.9667,102.5,-22.54,98,100,7.76
34,Mattawa,US,2022-11-13 09:54:42,46.7379,-119.9028,29.01,79,7,2.3
35,Yellowknife,CA,2022-11-13 09:54:37,62.456,-114.3525,27.12,100,100,23.0
36,Pakxe,LA,2022-11-13 09:54:43,15.1167,105.7833,86.14,62,40,2.3
37,San Miguel El Alto,MX,2022-11-13 09:54:43,21.0167,-102.35,54.1,74,0,4.09
38,Kruisfontein,ZA,2022-11-13 09:54:44,-34.0033,24.7314,68.05,51,6,24.56
39,Vao,NC,2022-11-13 09:54:44,-22.6667,167.4833,73.15,83,100,18.79
40,Jiujiang,CN,2022-11-13 09:54:45,29.7333,115.9833,59.68,63,89,16.08
41,Lagoa,PT,2022-11-13 09:54:45,39.05,-27.9833,60.58,65,100,20.02
42,Airai,TL,2022-11-13 09:54:45,-8.9266,125.4092,64.99,92,98,2.55
43,Nikolskoye,RU,2022-11-13 09:54:46,59.7035,30.7861,44.49,71,100,9.01
44,Longyearbyen,SJ,2022-11-13 09:54:46,78.2186,15.6401,31.84,80,75,17.27
45,Albany,US,2022-11-13 09:50:46,42.6001,-73.9662,45.39,76,100,3.0
46,New Norfolk,AU,2022-11-13 09:54:47,-42.7826,147.0587,54.91,83,100,2.24
47,Deputatskiy,RU,2022-11-13 09:55:47,69.3,139.9,-24.79,100,97,1.59
48,Tasiilaq,GL,2022-11-13 09:55:48,65.6145,-37.6368,33.53,74,100,22.46
49,Bluff,NZ,2022-11-13 09:55:48,-46.6,168.3333,48.27,69,61,9.86
50,Mahebourg,MU,2022-11-13 09:55:48,-20.4081,57.7,80.89,57,20,6.91
51,Port Elizabeth,ZA,2022-11-13 09:55:49,-33.918,25.5701,71.89,67,20,28.77
52,Mar Del Plata,AR,2022-11-13 09:55:49,-38.0023,-57.5575,66.09,95,57,5.01
53,Busselton,AU,2022-11-13 09:55:50,-33.65,115.3333,62.11,53,2,19.93
54,Corowa,AU,2022-11-13 09:55:50,-36.0333,146.3833,60.58,96,99,2.15
55,Shache,CN,2022-11-13 09:55:51,38.4167,77.2406,50.14,22,81,4.9
56,Rawson,AR,2022-11-13 09:55:51,-43.3002,-65.1023,56.37,86,92,14.0
57,Jamestown,US,2022-11-13 09:55:25,42.097,-79.2353,36.01,80,100,11.5
58,San Felipe,VE,2022-11-13 09:55:52,10.3399,-68.7425,71.46,99,100,1.28
59,Saskylakh,RU,2022-11-13 09:55:52,71.9167,114.0833,-7.85,97,100,14.29
60,Georgetown,MY,2022-11-13 09:55:53,5.4112,100.3354,85.95,81,20,9.22
61,Mayo,US,2022-11-13 09:55:45,38.8876,-76.5119,48.97,70,100,14.97
62,Kaitangata,NZ,2022-11-13 09:55:53,-46.2817,169.8464,46.18,84,91,3.36
63,Punta Arenas,CL,2022-11-13 09:51:55,-53.15,-70.9167,46.74,68,73,7.36
64,Namatanai,PG,2022-11-13 09:55:54,-3.6667,152.4333,79.93,85,92,9.19
65,Butaritari,KI,2022-11-13 09:55:54,3.0707,172.7902,80.13,72,92,11.99
66,Carnarvon,AU,2022-11-13 09:55:55,-24.8667,113.6333,73.47,56,0,24.16
67,Kavieng,PG,2022-11-13 09:55:55,-2.5744,150.7967,82.06,81,99,16.35
68,Verkhnyaya Inta,RU,2022-11-13 09:55:56,65.9811,60.3094,16.34,93,100,2.21
69,Pangnirtung,CA,2022-11-13 09:55:56,66.1451,-65.7125,0.3,78,100,5.86
70,Torbay,CA,2022-11-13 09:55:57,47.6666,-52.7314,38.75,94,100,28.77
71,Ndola,ZM,2022-11-13 09:55:57,-12.9587,28.6366,70.56,78,100,1.99
72,Sai Buri,TH,2022-11-13 09:55:58,6.7013,101.6168,82.11,82,95,6.4
73,Port Alfred,ZA,2022-11-13 09:55:58,-33.5906,26.891,70.18,76,21,11.99
74,Sitka,US,2022-11-13 09:55:58,57.0531,-135.33,45.16,99,100,7.29
75,Cam Ranh,VN,2022-11-13 09:55:59,11.9214,109.1591,82.36,83,20,5.75
76,Namibe,AO,2022-11-13 09:55:59,-15.1961,12.1522,76.23,49,40,9.57
77,Faya,SA,2022-11-13 09:56:00,18.3851,42.4509,73.51,39,1,2.93
78,Amarante Do Maranhao,BR,2022-11-13 09:56:00,-5.5667,-46.7422,74.08,84,10,2.42
79,Bredasdorp,ZA,2022-11-13 09:56:00,-34.5322,20.0403,74.43,35,4,16.11
80,Hilo,US,2022-11-13 09:56:01,19.7297,-155.09,70.25,89,3,1.99
81,Ikoma,JP,2022-11-13 09:56:01,34.6833,135.7,65.07,94,75,2.3
82,Hobyo,SO,2022-11-13 09:56:02,5.3505,48.5268,84.25,60,17,18.39
83,Comodoro Rivadavia,AR,2022-11-13 09:56:02,-45.8667,-67.5,44.46,93,75,3.44
84,Wabana,CA,2022-11-13 09:56:03,47.6332,-52.9481,38.55,94,100,28.77
85,Talaya,RU,2022-11-13 09:56:03,61.3833,152.75,-27.81,98,46,3.13
86,Dongsheng,CN,2022-11-13 09:56:04,39.8161,109.9776,35.04,44,81,9.55
87,Camacha,PT,2022-11-13 09:56:04,33.0833,-16.3333,67.42,78,20,5.75
88,Maldonado,UY,2022-11-13 09:52:00,-34.6667,-54.9167,65.59,85,100,9.8
89,Mangan,IN,2022-11-13 09:56:05,27.5167,88.5333,67.3,69,57,3.91
90,Tabuk,PH,2022-11-13 09:56:05,17.4189,121.4443,77.52,88,23,4.65
91,Ponta Do Sol,PT,2022-11-13 09:56:06,32.6667,-17.1,72.23,86,100,0.6
92,Leningradskiy,RU,2022-11-13 09:57:06,69.3833,178.4167,0.59,96,98,6.51
93,Mataura,NZ,2022-11-13 09:57:06,-46.1927,168.8643,46.69,98,100,2.46
94,Havre,FR,2022-11-13 09:57:07,49.5833,0.3333,50.4,100,100,11.5
95,Svetlogorsk,BY,2022-11-13 09:57:07,52.6333,29.7333,52.05,67,20,12.73
96,Sayyan,YE,2022-11-13 09:57:08,15.1718,44.3244,67.8,15,0,4.52
97,Adrar,MR,2022-11-13 09:57:08,20.5022,-10.0711,78.24,12,62,15.64
98,Lincoln,US,2022-11-13 09:57:08,40.8,-96.667,15.03,88,5,1.99
99,Hokitika,NZ,2022-11-13 09:57:09,-42.7167,170.9667,54.79,89,19,2.26
100,Mayumba,GA,2022-11-13 09:57:09,-3.432,10.6554,80.62,75,85,9.95
101,Vila Franca Do Campo,PT,2022-11-13 09:57:10,37.7167,-25.4333,61.21,67,100,9.44
102,Dondaicha,IN,2022-11-13 09:57:10,21.3333,74.5667,88.41,25,20,7.23
103,Lodja,CD,2022-11-13 09:57:10,-3.4833,23.4333,82.17,64,96,0.83
104,Katsuura,JP,2022-11-13 09:57:11,35.1333,140.3,69.71,88,100,22.28
105,Victoria,HK,2022-11-13 09:52:19,22.2855,114.1577,84.18,78,13,5.99
106,Serenje,ZM,2022-11-13 09:57:12,-13.2325,30.2352,75.34,57,94,3.47
107,San Jose,US,2022-11-13 09:56:49,37.3394,-121.895,51.85,86,100,3.44
108,Biak,ID,2022-11-13 09:57:12,-0.9131,122.8766,79.65,80,51,1.25
109,Moerai,PF,2022-11-13 09:57:13,-22.4333,-151.3333,69.19,68,35,8.3
110,Ciudad Bolivar,VE,2022-11-13 09:57:13,8.1222,-63.5497,75.31,92,99,5.82
111,Mogadishu,SO,2022-11-13 09:52:34,2.0371,45.3438,85.87,74,20,11.5
112,Providencia,MX,2022-11-13 09:57:14,28.7167,-111.5833,59.47,60,4,1.88
113,Cabo San Lucas,MX,2022-11-13 09:55:11,22.8909,-109.9124,72.52,74,20,5.53
114,Narsaq,GL,2022-11-13 09:57:14,60.9167,-46.05,26.38,97,100,1.32
115,Bambous Virieux,MU,2022-11-13 09:57:15,-20.3428,57.7575,80.85,57,20,6.91
116,Dikson,RU,2022-11-13 09:57:15,73.5069,80.5464,-8.7,99,49,5.3
117,Mildura,AU,2022-11-13 09:57:15,-34.2,142.15,60.76,67,75,19.57
118,Alyangula,AU,2022-11-13 09:57:16,-13.8483,136.4192,84.65,71,91,14.52
119,Clyde River,CA,2022-11-13 09:57:16,70.4692,-68.5914,-7.37,77,100,5.75
120,Naze,JP,2022-11-13 09:57:17,28.3667,129.4833,70.72,85,42,12.62
121,East London,ZA,2022-11-13 09:57:17,-33.0153,27.9116,70.74,68,20,14.97
122,Mahanoro,MG,2022-11-13 09:57:18,-19.9,48.8,81.39,59,1,9.98
123,Manavalakurichi,IN,2022-11-13 09:57:18,8.1333,77.3,83.77,72,58,7.25
124,Lebu,CL,2022-11-13 09:57:18,-37.6167,-73.65,53.42,89,31,11.92
125,Ixtapa,MX,2022-11-13 09:57:19,20.7,-105.2,72.23,85,7,3.02
126,Paredon,MX,2022-11-13 09:57:20,16.0333,-93.8667,77.0,74,48,8.03
127,Taltal,CL,2022-11-13 09:57:20,-25.4,-70.4833,58.14,79,0,4.68
128,Newport,GB,2022-11-13 09:57:20,51.5877,-2.9984,58.08,90,0,5.79
129,Myitkyina,MM,2022-11-13 09:57:21,25.3833,97.4,76.06,60,0,1.01
130,Sola,VU,2022-11-13 09:57:21,-13.8833,167.55,77.67,94,75,0.0
131,Hakodate,JP,2022-11-13 09:57:22,41.7758,140.7367,52.11,87,75,16.11
132,Linxia,CN,2022-11-13 09:57:22,35.6003,103.2064,38.97,58,100,6.46
133,Sao Filipe,CV,2022-11-13 09:57:23,14.8961,-24.4956,76.82,73,57,6.82
134,Caravelas,BR,2022-11-13 09:57:23,-17.7125,-39.2481,78.28,75,91,5.75
135,Bose,IT,2022-11-13 09:57:23,45.4612,8.0137,58.28,64,100,7.11
136,Kyshtovka,RU,2022-11-13 09:57:24,56.555,76.6271,32.63,99,100,8.19
137,Miles City,US,2022-11-13 09:57:24,46.4083,-105.8406,17.8,91,100,5.14
138,Bambanglipuro,ID,2022-11-13 09:58:25,-7.95,110.2833,76.84,94,100,4.65
139,Uyuni,BO,2022-11-13 09:58:25,-20.4597,-66.825,31.55,28,0,15.1
140,Aransas Pass,US,2022-11-13 09:58:26,27.9095,-97.15,52.99,66,0,17.27
141,Tiksi,RU,2022-11-13 09:58:26,71.6872,128.8694,-19.84,100,100,1.14
142,Kushmurun,KZ,2022-11-13 09:58:26,52.4503,64.6311,34.84,97,100,30.62
143,Kismayo,SO,2022-11-13 09:58:27,-0.3582,42.5454,83.77,65,9,11.68
144,Hirara,JP,2022-11-13 09:58:27,24.8,125.2833,77.27,83,20,16.11
145,Zeya,RU,2022-11-13 09:58:28,53.75,127.2667,10.36,94,22,4.21
146,Nouadhibou,MR,2022-11-13 09:58:28,20.931,-17.0347,67.98,94,1,10.36
147,Katobu,ID,2022-11-13 09:58:28,-4.9408,122.5276,77.99,90,100,3.15
148,Werda,BW,2022-11-13 09:58:29,-25.2667,23.2833,80.53,44,1,8.52
149,Amboasary,MG,2022-11-13 09:58:29,-25.0333,46.3833,86.47,50,33,16.08
150,Baykit,RU,2022-11-13 09:58:30,61.67,96.37,8.56,94,100,6.58
151,Hibbing,US,2022-11-13 09:55:32,47.4272,-92.9377,19.0,96,66,3.49
152,Hamadan,IR,2022-11-13 09:58:30,34.7992,48.5146,50.88,46,20,2.3
153,Pitimbu,BR,2022-11-13 09:58:31,-7.4706,-34.8086,77.59,75,13,7.09
154,Isangel,VU,2022-11-13 09:58:31,-19.55,169.2667,77.63,83,66,5.06
155,Bocas Del Toro,PA,2022-11-13 09:58:32,9.3333,-82.25,77.13,84,89,6.6
156,Gao,ML,2022-11-13 09:58:32,16.6362,1.637,88.5,15,10,17.07
157,Kutum,SD,2022-11-13 09:58:33,14.2,24.6667,78.57,17,1,8.7
158,Mount Gambier,AU,2022-11-13 09:58:33,-37.8333,140.7667,54.0,96,8,4.41
159,Hithadhoo,MV,2022-11-13 09:58:34,-0.6,73.0833,81.88,76,100,14.61
160,Abalak,RU,2022-11-13 09:58:34,58.1286,68.5944,32.04,96,100,8.84
161,Chokurdakh,RU,2022-11-13 09:58:34,70.6333,147.9167,-30.41,100,84,5.97
162,Mount Isa,AU,2022-11-13 09:58:35,-20.7333,139.5,76.77,94,40,8.05
163,Nouakchott,MR,2022-11-13 09:58:35,18.0858,-15.9785,73.33,27,13,10.69
164,Qaanaaq,GL,2022-11-13 09:58:36,77.484,-69.3632,6.01,77,99,1.21
165,Anito,PH,2022-11-13 09:58:36,12.4497,125.2886,80.08,85,66,6.38
166,Gogrial,SS,2022-11-13 09:58:36,8.5332,28.1004,92.14,16,100,6.24
167,Kieta,PG,2022-11-13 09:58:37,-6.2167,155.6333,79.39,83,88,2.24
168,Sisimiut,GL,2022-11-13 09:58:37,66.9395,-53.6735,20.97,82,100,5.55
169,Ramona,US,2022-11-13 09:57:22,33.0417,-116.8681,49.86,82,0,3.06
170,Dracena,BR,2022-11-13 09:58:38,-21.4843,-51.535,71.19,80,95,9.01
171,Half Moon Bay,US,2022-11-13 09:58:38,37.4636,-122.4286,51.91,88,75,0.0
172,Ilulissat,GL,2022-11-13 09:58:39,69.2167,-51.1,30.49,63,100,12.84
173,Neuquen,AR,2022-11-13 09:56:47,-38.9516,-68.0591,49.89,100,75,5.75
174,Disna,BY,2022-11-13 09:58:39,55.568,28.1971,48.29,68,14,12.95
175,Port Lincoln,AU,2022-11-13 09:58:40,-34.7333,135.8667,56.43,82,97,28.88
176,Guerrero Negro,MX,2022-11-13 09:58:40,27.9769,-114.0611,60.84,68,4,10.56
177,Awjilah,LY,2022-11-13 09:58:41,29.1081,21.2869,72.1,37,47,3.0
178,Vardo,NO,2022-11-13 09:58:41,70.3705,31.1107,31.98,86,40,8.05
179,Tlacotepec,MX,2022-11-13 09:58:41,20.0667,-97.8667,55.69,99,100,1.52
180,Raudeberg,NO,2022-11-13 09:58:42,61.9875,5.1352,52.47,1,83,8.68
181,Marawi,PH,2022-11-13 09:58:42,7.9986,124.2928,70.92,97,100,2.48
182,Vestmannaeyjar,IS,2022-11-13 09:58:43,63.4427,-20.2734,49.19,87,75,40.29
183,Karratha,AU,2022-11-13 09:59:43,-20.7377,116.8463,80.35,54,0,10.27
184,Emba,KZ,2022-11-13 09:59:43,48.8264,58.1442,38.53,96,100,26.53
185,Kapaa,US,2022-11-13 09:59:44,22.0752,-159.319,73.09,86,37,1.01
186,Cascais,PT,2022-11-13 09:59:44,38.6979,-9.4215,64.98,100,75,8.99
187,Hualmay,PE,2022-11-13 09:59:45,-11.0964,-77.6139,61.75,89,47,5.08
188,Faanui,PF,2022-11-13 09:59:45,-16.4833,-151.75,72.91,89,100,3.53
189,Cockburn Town,TC,2022-11-13 09:59:46,21.4612,-71.1419,81.0,74,52,11.54
190,Abu Samrah,SY,2022-11-13 09:59:46,35.3029,37.1841,70.14,35,0,5.5
191,Liwale,TZ,2022-11-13 09:59:46,-9.7667,37.9333,94.15,22,6,5.77
192,Laguna,US,2022-11-13 09:59:47,38.421,-121.4238,47.05,85,0,5.75
193,Samarai,PG,2022-11-13 09:59:47,-10.6167,150.6667,82.17,74,68,10.27
